Session,Created by
Part – 1 : HTML and CSS,Guruprakash
HTML5 Basics and Basic Tags,Guruprakash
Tables,Guruprakash
Forms,Guruprakash
HTML5 Tags,Guruprakash
HTML Graphics,Guruprakash
HTML Media,Guruprakash
HTML APIs,Guruprakash
"Background, Borders, Margin, Box Model",Guruprakash
"Styling Text, Fonts",Guruprakash
"List, Links, Tables",Guruprakash
"CSS Overflow, Float, Inline Blocks",Guruprakash
"Pseudo-classes, Pseudo-elements",Guruprakash
"CSS Border Images, Rounded Corners",Guruprakash
Part – 2 : Java Script,Guruprakash
Introduction to JavaScript,Guruprakash
"Variables, Control Statements, Loops",Guruprakash
"Arrays, String Handling",Guruprakash
Functions in JavaScript,Guruprakash
Inputting and Outputting from Form Elements to JavaScript,Guruprakash
"DOM Concept, Creating HTML Elements using JavaScript",Guruprakash
"Drawing 2D Shapes, Handling Events",Guruprakash
Introduction to AJAX,Guruprakash
jQuery,Guruprakash
Part – 3 : AngularJS,Guruprakash
Introduction to Single-Page Applications,Guruprakash
AngularJS as a framework for building SPAs,Guruprakash
Two-Way Data Binding,Guruprakash
MVC in AngularJS,Guruprakash
Controllers and User Inputs,Guruprakash
Loops and Iteration,Guruprakash
Client-Side Routing and Accessing URL Data,Guruprakash
Various Ways to Provide Data in AngularJS,Guruprakash
Part – 4 : PHP & MySQL,Guruprakash
Server-Side Scripting and Difference with Client-Side Scripting,Guruprakash
"Introduction to PHP, Variables, Control Statements, Loops",Guruprakash
Arrays and String Handling,Guruprakash
PHP Forms and Global Variables,Guruprakash
Regular Expressions and Pattern Matching,Guruprakash
Database Programming: Inputting and Outputting Data from MySQL using PHP,Guruprakash
State Management in Web Applications: Cookies,Guruprakash
Application and Session State,Guruprakash
"Parts – 5 : XML ",Guruprakash
Introduction to XML,Guruprakash
"XML Tags, Elements, and Attributes",Guruprakash
Attribute Types in XML,Guruprakash
XML Validation: DTD and XSD,Guruprakash
XML DOM (Document Object Model),Guruprakash
